customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID0001,Male,1,Yes,No,7,No,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.82,6406.94,Yes
ID0002,Female,0,No,No,35,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,No,Two year,No,Mailed check,76.93,3522.28,No
ID0003,Male,0,No,No,55,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),130.74,7349.44,Yes
ID0004,Male,0,No,No,14,No,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No,Two year,No,Mailed check,79.83,3656.97,No
ID0005,Male,0,No,Yes,10,No,No phone service,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,48.01,5980.99,No
ID0006,Female,0,Yes,Yes,16,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.81,3790.03,Yes
ID0007,Male,1,No,No,54,No,No,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,No,Electronic check,112.21,1900.62,Yes
ID0008,Male,0,Yes,Yes,70,No,Yes,No,Yes,No,Yes,No internet service,No,No,Two year,No,Bank transfer (automatic),108.45,1675.86,No
ID0009,Male,1,Yes,No,44,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No internet service,Two year,Yes,Electronic check,109.64,3461.9,No
ID0010,Female,1,Yes,Yes,45,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),101.5,6069.4,No
ID0011,Male,0,Yes,No,56,No,Yes,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,55.67,4881.05,Yes
ID0012,Male,0,Yes,No,57,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),117.06,5541.16,No
ID0013,Male,1,No,Yes,21,No,No,No,No,No internet service,No internet service,No,Yes,No,Two year,No,Electronic check,120.23,2331.37,Yes
ID0014,Male,0,No,Yes,68,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),49.6,3904.33,Yes
ID0015,Female,0,No,No,50,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,No,Mailed check,43.17,451.71,No
ID0016,Male,1,No,No,33,Yes,Yes,No,No,No internet service,No internet service,Yes,No,No,Two year,Yes,Mailed check,128.53,6559.5,Yes
ID0017,Female,1,Yes,Yes,7,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,117.69,7921.14,Yes
ID0018,Female,0,No,Yes,70,No,No phone service,No,No,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),120.21,3315.33,No
ID0019,Female,1,Yes,No,15,No,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,119.51,187.6,No
ID0020,Male,0,No,Yes,32,Yes,No,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,84.7,1442.35,Yes
ID0021,Female,0,Yes,No,20,Yes,No,No,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),95.28,5255.95,No
ID0022,Male,0,Yes,No,15,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,85.07,4936.42,Yes
ID0023,Female,1,No,No,48,No,Yes,No,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Electronic check,35.16,6325.12,No
ID0024,Female,1,Yes,No,71,Yes,No,No,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),105.29,2106.67,No
ID0025,Female,1,Yes,Yes,21,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,One year,No,Credit card (automatic),81.03,6133.68,No
ID0026,Female,1,No,Yes,42,Yes,No phone service,No,No,No,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),95.41,5536.06,No
ID0027,Female,1,Yes,Yes,26,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),80.76,2651.22,Yes
ID0028,Female,0,No,Yes,14,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,79.66,4410.35,No
ID0029,Female,0,No,Yes,57,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,No,Mailed check,47.34,1264.45,Yes
ID0030,Female,0,No,Yes,37,No,No,DSL,Yes,No internet service,No internet service,No,No,No,Two year,No,Bank transfer (automatic),58.14,3676.25,Yes
ID0031,Male,0,Yes,Yes,58,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),46.03,7062.45,No
ID0032,Male,1,Yes,No,21,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),49.75,3428.4,No
ID0033,Female,0,Yes,Yes,69,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),128.26,6733.57,No
ID0034,Female,1,No,Yes,3,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,One year,No,Credit card (automatic),45.45,4763.99,No
ID0035,Female,0,Yes,No,37,No,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),57.19,1616.82,No
ID0036,Male,1,No,Yes,49,No,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),89.64,4691.73,Yes
ID0037,Female,1,No,Yes,19,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,91.62,4098.26,No
ID0038,Male,0,Yes,No,12,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),45.54,3250.26,Yes
ID0039,Male,0,No,Yes,61,No,No phone service,DSL,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Mailed check,110.16,1046.07,Yes
ID0040,Male,0,Yes,Yes,41,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),109.3,3392.99,Yes
ID0041,Male,0,Yes,Yes,33,No,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.96,675.81,Yes
ID0042,Male,1,Yes,No,50,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),59.15,881.27,No
ID0043,Female,0,Yes,Yes,68,No,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Two year,Yes,Credit card (automatic),124.73,3386.73,No
ID0044,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No,No,No,No,No,One year,No,Mailed check,113.38,2513.5,Yes
ID0045,Female,1,No,No,33,Yes,No phone service,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),100.47,7412.79,Yes
ID0046,Female,0,No,Yes,24,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),38.3,3069.07,No
ID0047,Female,0,No,No,61,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),72.23,6088.07,Yes
ID0048,Male,0,Yes,No,61,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,86.48,4289.95,No
ID0049,Female,0,Yes,Yes,28,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,48.92,5663.27,Yes
ID0050,Female,0,Yes,No,58,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,One year,No,Electronic check,75.26,2155.91,No
ID0051,Male,1,No,No,43,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,90.69,7542.04,Yes
ID0052,Female,0,Yes,Yes,41,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,Two year,No,Mailed check,63.06,4288.69,Yes
ID0053,Male,0,No,No,39,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Credit card (automatic),108.87,6668.45,Yes
ID0054,Female,0,No,No,49,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,114.88,2984.85,No
